127.0.0.1 - - [12/May/2024:22:57:25 +0900] "GET / HTTP/1.1" 200 19198
0:0:0:0:0:0:0:1 - - [12/May/2024:22:57:27 +0900] "GET / HTTP/1.1" 200 19198
0:0:0:0:0:0:0:1 - - [12/May/2024:22:57:27 +0900] "GET /resources/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [12/May/2024:22:57:27 +0900] "GET /resources/lib/animate/animate.min.css HTTP/1.1" 200 16964
0:0:0:0:0:0:0:1 - - [12/May/2024:22:57:27 +0900] "GET /resources/css/img.css HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/May/2024:22:57:27 +0900] "GET /resources/css/style.css HTTP/1.1" 200 14876
0:0:0:0:0:0:0:1 - - [12/May/2024:22:57:27 +0900] "GET /resources/lib/wow/wow.min.js HTTP/1.1" 200 8159
0:0:0:0:0:0:0:1 - - [12/May/2024:22:57:27 +0900] "GET /resources/lib/easing/easing.min.js HTTP/1.1" 200 2303
0:0:0:0:0:0:0:1 - - [12/May/2024:22:57:27 +0900] "GET /resources/css/bootstrap.min.css HTTP/1.1" 200 166388
0:0:0:0:0:0:0:1 - - [12/May/2024:22:57:27 +0900] "GET /resources/lib/waypoints/waypoints.min.js HTTP/1.1" 200 9028
0:0:0:0:0:0:0:1 - - [12/May/2024:22:57:27 +0900] "GET /resources/js/main.js HTTP/1.1" 200 2141
0:0:0:0:0:0:0:1 - - [12/May/2024:22:57:27 +0900] "GET /resources/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 200 42766
0:0:0:0:0:0:0:1 - - [12/May/2024:22:57:27 +0900] "GET /resources/img/carousel-2.jpg HTTP/1.1" 200 93141
0:0:0:0:0:0:0:1 - - [12/May/2024:22:57:42 +0900] "GET / HTTP/1.1" 200 19198
0:0:0:0:0:0:0:1 - - [12/May/2024:22:57:44 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/May/2024:22:57:46 +0900] "GET /tourismIntroduction HTTP/1.1" 200 9747
